iter	Passed	Remaining
916	1359	123
917	1360	121
918	1361	120
919	1362	118
920	1364	117
921	1365	115
922	1366	113
923	1368	112
924	1369	111
925	1370	109
926	1371	108
927	1372	106
928	1374	105
929	1375	103
930	1376	102
931	1377	100
932	1378	99
933	1379	97
934	1381	96
935	1383	94
936	1384	93
937	1386	91
938	1387	90
939	1388	88
940	1390	87
941	1391	85
942	1392	84
943	1393	82
944	1394	81
945	1395	79
946	1397	78
947	1399	76
948	1400	75
949	1401	73
950	1402	72
951	1403	70
952	1405	69
953	1406	67
954	1407	66
955	1408	64
956	1409	63
957	1410	61
958	1411	60
959	1413	58
960	1414	57
961	1416	55
962	1417	54
963	1418	52
964	1419	51
965	1421	50
966	1422	48
967	1423	47
968	1424	45
969	1425	44
970	1426	42
971	1429	41
972	1430	39
973	1431	38
974	1433	36
975	1434	35
976	1435	33
977	1436	32
978	1438	30
979	1439	29
980	1440	27
981	1441	26
982	1442	24
983	1443	23
984	1444	22
985	1445	20
986	1447	19
987	1448	17
988	1449	16
989	1449	14
990	1450	13
991	1451	11
992	1452	10
993	1453	8
994	1454	7
995	1455	5
996	1457	4
997	1459	2
998	1460	1
999	1461	0
